column,dtype,non_null,null_count,null_pct,n_unique
subject_id,int64,73845,0,0.0,8538
Q1_Speech,float64,72542,1303,1.8,9
Q2_Salivation,float64,72540,1305,1.8,9
Q3_Swallowing,float64,72539,1306,1.8,9
Q4_Handwriting,float64,72536,1309,1.8,9
Q5a_Cutting_without_Gastrostomy,float64,67121,6724,9.1,9
Q5b_Cutting_with_Gastrostomy,float64,6211,67634,91.6,8
Q6_Dressing_and_Hygiene,float64,72536,1309,1.8,9
Q7_Turning_in_Bed,float64,72532,1313,1.8,9
Q8_Walking,float64,72536,1309,1.8,9
Q9_Climbing_Stairs,float64,72538,1307,1.8,9
Q10_Respiratory,float64,36384,37461,50.7,7
ALSFRS_Delta,float64,73657,188,0.3,1138
ALSFRS_Total,float64,36385,37460,50.7,79
ALSFRS_R_Total,float64,44567,29278,39.6,49
R_1_Dyspnea,float64,43275,30570,41.4,5
R_2_Orthopnea,float64,43275,30570,41.4,5
R_3_Respiratory_Insufficiency,float64,43277,30568,41.4,5
Mode_of_Administration,str,7402,66443,90.0,5
ALSFRS_Responded_By,str,1985,71860,97.3,2
