column,dtype,non_null,null_count,null_pct,n_unique
subject_id,int64,1424,0,0.0,1360
Family_History_Delta,float64,1397,27,1.9,20
Other_Specify,float64,0,1424,100.0,0
Family_Hx_of_ALS_Mutation,float64,0,1424,100.0,0
Family_Hx_of_ALS_Mutation_Other,float64,0,1424,100.0,0
Family_Hx_of_Neuro_Disease,str,179,1245,87.4,1
Aunt,float64,13,1411,99.1,1
Aunt__Maternal_,float64,8,1416,99.4,1
Aunt__Paternal_,float64,4,1420,99.7,1
Cousin,float64,7,1417,99.5,1
Cousin__Paternal_,float64,0,1424,100.0,0
Cousin__Maternal_,float64,0,1424,100.0,0
Father,float64,161,1263,88.7,1
Grandfather,float64,3,1421,99.8,1
Grandfather__Maternal_,float64,4,1420,99.7,1
Grandfather__Paternal_,float64,3,1421,99.8,1
Grandmother,float64,11,1413,99.2,1
Grandmother__Maternal_,float64,6,1418,99.6,1
Grandmother__Paternal_,float64,4,1420,99.7,1
Mother,float64,223,1201,84.3,1
Nephew,float64,1,1423,99.9,1
Nephew__Maternal_,float64,0,1424,100.0,0
Nephew__Paternal_,float64,0,1424,100.0,0
Niece,float64,2,1422,99.9,1
Niece__Maternal_,float64,0,1424,100.0,0
Niece__Paternal_,float64,0,1424,100.0,0
Other,float64,0,1424,100.0,0
Sibling,float64,0,1424,100.0,0
Volunteer,float64,0,1424,100.0,0
Uncle,float64,15,1409,98.9,1
Uncle__Maternal_,float64,5,1419,99.6,1
Uncle__Paternal_,float64,4,1420,99.7,1
Family_Hx_of_Neuro_Disease_Other,float64,0,1424,100.0,0
Neurological_Disease,str,576,848,59.6,9
Neurological_Disease_Other,str,141,1283,90.1,71
Son,float64,11,1413,99.2,1
Daughter,float64,12,1412,99.2,1
Sister,float64,60,1364,95.8,1
Brother,float64,81,1343,94.3,1
