column,dtype,non_null,null_count,null_pct,n_unique
subject_id,int64,84721,0,0.0,11075
Blood_Pressure_Diastolic,float64,64664,20057,23.7,97
Blood_Pressure_Diastolic_Units,str,44842,39879,47.1,2
Blood_Pressure_Systolic,float64,64690,20031,23.6,140
Blood_Pressure_Systolic_Units,str,44842,39879,47.1,2
Height,float64,11538,73183,86.4,383
Height_Units,str,15069,69652,82.2,2
Pulse,float64,64191,20530,24.2,109
Pulse_Units,str,44852,39869,47.1,1
Respiratory_Rate,float64,60961,23760,28.0,67
Respiratory_Rate_Units,str,40581,44140,52.1,2
Temperature,float64,39597,45124,53.3,71
Temperature_Units,str,23214,61507,72.6,1
Weight,float64,58205,26516,31.3,1587
Weight_Units,str,47677,37044,43.7,2
Vital_Signs_Delta,float64,80183,4538,5.4,1221
Baseline_Standing_BP_Diastolic,float64,3858,80863,95.4,55
Baseline_Standing_BP_Systolic,float64,3858,80863,95.4,77
Baseline_Supine_BP_Diastolic,float64,3959,80762,95.3,55
Baseline_Supine_BP_Systolic,float64,3959,80762,95.3,74
Baseline_Weight,float64,3958,80763,95.3,249
Supine_Pulse,float64,14002,70719,83.5,123
Standing_Pulse,float64,13307,71414,84.3,135
Endpoint_Supine_Pulse,float64,3880,80841,95.4,61
Endpoint_Standing_Pulse,float64,3556,81165,95.8,64
Baseline_Supine_Pulse,float64,3959,80762,95.3,58
Baseline_Standing_Pulse,float64,3858,80863,95.4,64
Endpoint_Weight,float64,3679,81042,95.7,242
Endpoint_Standing_BP_Diastolic,float64,3550,81171,95.8,56
Endpoint_Standing_BP_Systolic,float64,3550,81171,95.8,77
Endpoint_Supine_BP_Diastolic,float64,3880,80841,95.4,56
Endpoint_Supine_BP_Systolic,float64,3880,80841,95.4,78
Supine_BP_Diastolic,float64,14012,70709,83.5,111
Supine_BP_Systolic,float64,14011,70710,83.5,152
Standing_BP_Diastolic,float64,13327,71394,84.3,116
Standing_BP_Systolic,float64,13328,71393,84.3,153
