classifier,imbalance_technique,threshold_type,threshold,sensitivity,specificity,balanced_acc,gmean,auc,TP,FP,FN,TN
KNN,RUS,default,0.5,0.8,0.823,0.812,0.812,0.886,28,47,7,219
KNN,RUS,youden,0.4161,0.886,0.729,0.808,0.804,0.886,31,72,4,194
KNN,RUS,sens_opt,0.0,1.0,0.0,0.5,0.0,0.886,35,266,0,0
KNN,RUS,f1_opt,0.5606,0.743,0.887,0.815,0.812,0.886,26,30,9,236
NaiveBayes,None,default,0.5,0.714,0.835,0.774,0.772,0.889,25,44,10,222
NaiveBayes,None,youden,0.0759,0.771,0.778,0.775,0.775,0.889,27,59,8,207
NaiveBayes,None,sens_opt,0.0,1.0,0.0,0.5,0.0,0.889,35,266,0,0
NaiveBayes,None,f1_opt,0.9507,0.714,0.921,0.818,0.811,0.889,25,21,10,245
DecisionTree,TomekLinks,default,0.5,0.457,0.962,0.71,0.663,0.874,16,10,19,256
DecisionTree,TomekLinks,youden,0.1364,0.886,0.793,0.839,0.838,0.874,31,55,4,211
DecisionTree,TomekLinks,sens_opt,0.0,1.0,0.0,0.5,0.0,0.874,35,266,0,0
DecisionTree,TomekLinks,f1_opt,0.3017,0.571,0.914,0.742,0.723,0.874,20,23,15,243
RandomForest,None,default,0.5,0.257,0.989,0.623,0.504,0.919,9,3,26,263
RandomForest,None,youden,0.112,0.914,0.744,0.829,0.825,0.919,32,68,3,198
RandomForest,None,sens_opt,0.0,1.0,0.0,0.5,0.0,0.919,35,266,0,0
RandomForest,None,f1_opt,0.2427,0.771,0.906,0.839,0.836,0.919,27,25,8,241
SVM,SMOTEENN,default,0.5,0.829,0.786,0.807,0.807,0.908,29,57,6,209
SVM,SMOTEENN,youden,0.5052,0.829,0.786,0.807,0.807,0.908,29,57,6,209
SVM,SMOTEENN,sens_opt,0.0,1.0,0.0,0.5,0.0,0.908,35,266,0,0
SVM,SMOTEENN,f1_opt,0.9113,0.714,0.876,0.795,0.791,0.908,25,33,10,233
MLP,None,default,0.5,0.029,1.0,0.514,0.169,0.918,1,0,34,266
MLP,None,youden,0.1524,0.486,0.966,0.726,0.685,0.918,17,9,18,257
MLP,None,sens_opt,0.0,1.0,0.0,0.5,0.0,0.918,35,266,0,0
MLP,None,f1_opt,0.2394,0.371,0.981,0.676,0.604,0.918,13,5,22,261
LightGBM,ROS,default,0.5,0.857,0.831,0.844,0.844,0.923,30,45,5,221
LightGBM,ROS,youden,0.4043,0.857,0.778,0.818,0.817,0.923,30,59,5,207
LightGBM,ROS,sens_opt,0.0007,1.0,0.0,0.5,0.0,0.923,35,266,0,0
LightGBM,ROS,f1_opt,0.6557,0.8,0.925,0.862,0.86,0.923,28,20,7,246
