classifier,imbalance_technique,metric,point_estimate,ci_lower,ci_upper,n_excluded,n_bootstrap
KNN,RUS,AUC,0.886,0.834,0.933,0,2000
KNN,RUS,Sensitivity,0.8,0.655,0.925,0,2000
KNN,RUS,Specificity,0.823,0.779,0.87,0,2000
KNN,RUS,Balanced_Acc,0.812,0.738,0.879,0,2000
KNN,RUS,GMean,0.812,0.735,0.878,0,2000
NaiveBayes,None,AUC,0.889,0.834,0.937,0,2000
NaiveBayes,None,Sensitivity,0.714,0.556,0.853,0,2000
NaiveBayes,None,Specificity,0.835,0.789,0.881,0,2000
NaiveBayes,None,Balanced_Acc,0.774,0.694,0.847,0,2000
NaiveBayes,None,GMean,0.772,0.682,0.847,0,2000
DecisionTree,TomekLinks,AUC,0.874,0.805,0.931,0,2000
DecisionTree,TomekLinks,Sensitivity,0.286,0.136,0.44,0,2000
DecisionTree,TomekLinks,Specificity,0.97,0.948,0.989,0,2000
DecisionTree,TomekLinks,Balanced_Acc,0.628,0.555,0.706,0,2000
DecisionTree,TomekLinks,GMean,0.526,0.364,0.654,0,2000
RandomForest,None,AUC,0.919,0.868,0.958,0,2000
RandomForest,None,Sensitivity,0.257,0.114,0.412,0,2000
RandomForest,None,Specificity,0.989,0.974,1.0,0,2000
RandomForest,None,Balanced_Acc,0.623,0.551,0.7,0,2000
RandomForest,None,GMean,0.504,0.337,0.638,0,2000
SVM,SMOTEENN,AUC,0.908,0.863,0.946,0,2000
SVM,SMOTEENN,Sensitivity,0.886,0.765,0.975,0,2000
SVM,SMOTEENN,Specificity,0.767,0.714,0.821,0,2000
SVM,SMOTEENN,Balanced_Acc,0.826,0.759,0.88,0,2000
SVM,SMOTEENN,GMean,0.824,0.758,0.875,0,2000
MLP,None,AUC,0.918,0.874,0.955,0,2000
MLP,None,Sensitivity,0.029,0.0,0.1,0,2000
MLP,None,Specificity,1.0,1.0,1.0,0,2000
MLP,None,Balanced_Acc,0.514,0.5,0.55,0,2000
MLP,None,GMean,0.169,0.0,0.316,0,2000
LightGBM,ROS,AUC,0.923,0.868,0.966,0,2000
LightGBM,ROS,Sensitivity,0.857,0.724,0.967,0,2000
LightGBM,ROS,Specificity,0.831,0.784,0.876,0,2000
LightGBM,ROS,Balanced_Acc,0.844,0.774,0.903,0,2000
LightGBM,ROS,GMean,0.844,0.772,0.902,0,2000
