,0
total_patients,9483
n_feature_cols,23
n_columns_total,32
avail_Diagnosis_Delay,5441
avail_Age_at_Onset,7682
avail_Sex,9483
avail_Site_of_Onset,8072
avail_Riluzole,9483
avail_FVC_at_Diagnosis,4629
avail_BMI_at_Diagnosis,7294
avail_Patient_with_Gastrostomy_at_Diagnosis,7669
avail_Qty_Regions_Involved_at_Diagnosis,7334
avail_Region_Bulbar_at_Diagnosis,7338
avail_Region_Upper_Limb_at_Diagnosis,7335
avail_Region_Lower_Limb_at_Diagnosis,7339
avail_Region_Respiratory_at_Diagnosis,7339
avail_Slope_Q1_Speech_at_Diagnosis,7088
avail_Slope_Q2_Salivation_at_Diagnosis,7087
avail_Slope_Q3_Swallowing_at_Diagnosis,7088
avail_Slope_Q4_Handwriting_at_Diagnosis,7087
avail_Slope_Q5_Cutting_at_Diagnosis,7085
avail_Slope_Q6_Dressing_and_Hygiene_at_Diagnosis,7088
avail_Slope_Q7_Turning_in_Bed_at_Diagnosis,7088
avail_Slope_Q8_Walking_at_Diagnosis,7088
avail_Slope_Q9_Climbing_Stairs_at_Diagnosis,7088
avail_Slope_Q10_Respiratory_at_Diagnosis,7088
