feature,value,Short_n,Short_pct,Non-Short_n,Non-Short_pct,All_n,All_pct
Sex_Male,0,61,35.1,518,39.0,579,38.5
Sex_Male,1,113,64.9,810,61.0,923,61.5
Site_Onset,0,48,27.6,225,16.9,273,18.2
Site_Onset,1,126,72.4,1103,83.1,1229,81.8
Age_at_Onset,0,4,2.3,219,16.5,223,14.8
Age_at_Onset,1,27,15.5,269,20.3,296,19.7
Age_at_Onset,2,51,29.3,401,30.2,452,30.1
Age_at_Onset,3,54,31.0,337,25.4,391,26.0
Age_at_Onset,4,38,21.8,102,7.7,140,9.3
Riluzole,0,107,61.5,814,61.3,921,61.3
Riluzole,1,67,38.5,514,38.7,581,38.7
Diagnosis_Delay,0,116,66.7,373,28.1,489,32.6
Diagnosis_Delay,1,58,33.3,582,43.8,640,42.6
Diagnosis_Delay,2,0,0.0,373,28.1,373,24.8
FVC_at_Diagnosis,0,57,32.8,722,54.4,779,51.9
FVC_at_Diagnosis,1,117,67.2,606,45.6,723,48.1
BMI_at_Diagnosis,0,8,4.6,44,3.3,52,3.5
BMI_at_Diagnosis,1,100,57.5,560,42.2,660,43.9
BMI_at_Diagnosis,2,46,26.4,475,35.8,521,34.7
BMI_at_Diagnosis,3,20,11.5,249,18.8,269,17.9
Patient_with_Gastrostomy,0,168,96.6,1278,96.2,1446,96.3
Patient_with_Gastrostomy,1,6,3.4,50,3.8,56,3.7
Qty_Regions_Involved,0,0,0.0,7,0.5,7,0.5
Qty_Regions_Involved,1,9,5.2,191,14.4,200,13.3
Qty_Regions_Involved,2,52,29.9,365,27.5,417,27.8
Qty_Regions_Involved,3,58,33.3,420,31.6,478,31.8
Qty_Regions_Involved,4,55,31.6,345,26.0,400,26.6
Region_Involved_Bulbar,0,56,32.2,501,37.7,557,37.1
Region_Involved_Bulbar,1,118,67.8,827,62.3,945,62.9
Region_Involved_Upper_Limb,0,31,17.8,255,19.2,286,19.0
Region_Involved_Upper_Limb,1,143,82.2,1073,80.8,1216,81.0
Region_Involved_Lower_Limb,0,16,9.2,173,13.0,189,12.6
Region_Involved_Lower_Limb,1,158,90.8,1155,87.0,1313,87.4
Region_Involved_Respiratory,0,86,49.4,822,61.9,908,60.5
Region_Involved_Respiratory,1,88,50.6,506,38.1,594,39.5
Q1_Speech_slope,0,72,41.4,945,71.2,1017,67.7
Q1_Speech_slope,1,56,32.2,319,24.0,375,25.0
Q1_Speech_slope,2,46,26.4,64,4.8,110,7.3
Q2_Salivation_slope,0,89,51.1,1063,80.0,1152,76.7
Q2_Salivation_slope,1,49,28.2,233,17.5,282,18.8
Q2_Salivation_slope,2,36,20.7,32,2.4,68,4.5
Q3_Swallowing_slope,0,89,51.1,1094,82.4,1183,78.8
Q3_Swallowing_slope,1,61,35.1,217,16.3,278,18.5
Q3_Swallowing_slope,2,24,13.8,17,1.3,41,2.7
Q4_Handwriting_slope,0,51,29.3,864,65.1,915,60.9
Q4_Handwriting_slope,1,76,43.7,401,30.2,477,31.8
Q4_Handwriting_slope,2,47,27.0,63,4.7,110,7.3
Q5_Cutting_slope,0,51,29.3,707,53.2,758,50.5
Q5_Cutting_slope,1,60,34.5,507,38.2,567,37.7
Q5_Cutting_slope,2,63,36.2,114,8.6,177,11.8
Q6_Dressing_slope,0,29,16.7,588,44.3,617,41.1
Q6_Dressing_slope,1,72,41.4,643,48.4,715,47.6
Q6_Dressing_slope,2,73,42.0,97,7.3,170,11.3
Q7_Turning_slope,0,50,28.7,872,65.7,922,61.4
Q7_Turning_slope,1,67,38.5,408,30.7,475,31.6
Q7_Turning_slope,2,57,32.8,48,3.6,105,7.0
Q8_Walking_slope,0,30,17.2,635,47.8,665,44.3
Q8_Walking_slope,1,61,35.1,626,47.1,687,45.7
Q8_Walking_slope,2,83,47.7,67,5.0,150,10.0
Q9_Climbing_slope,0,18,10.3,437,32.9,455,30.3
Q9_Climbing_slope,1,40,23.0,629,47.4,669,44.5
Q9_Climbing_slope,2,116,66.7,262,19.7,378,25.2
Q10_Respiratory_slope,0,89,51.1,1153,86.8,1242,82.7
Q10_Respiratory_slope,1,68,39.1,175,13.2,243,16.2
Q10_Respiratory_slope,2,17,9.8,0,0.0,17,1.1
