classifier,imbalance_technique,n_trials,best_trial,mean_auc,std_auc,mean_f1,std_f1,mean_gmean,std_gmean,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,best_params,time_seconds
KNN,ROS,50,12,0.8654,0.0403,0.474,0.0589,0.7841,0.0559,0.3449,0.0469,0.7651,0.1036,0.8076,0.0317,"{""n_neighbors"": 31, ""weights"": ""distance"", ""metric"": ""manhattan""}",14.3
KNN,SMOTE,50,34,0.8679,0.0409,0.4812,0.0714,0.7714,0.0614,0.3631,0.0579,0.717,0.1014,0.8336,0.0268,"{""n_neighbors"": 31, ""weights"": ""uniform"", ""metric"": ""manhattan""}",18.0
KNN,BorderlineSMOTE,50,21,0.8667,0.0379,0.4779,0.0672,0.7733,0.0609,0.3573,0.0543,0.7266,0.1047,0.8274,0.0271,"{""n_neighbors"": 31, ""weights"": ""uniform"", ""metric"": ""manhattan""}",22.2
KNN,ADASYN,50,21,0.869,0.0429,0.4785,0.0694,0.78,0.0641,0.3531,0.0534,0.7458,0.1118,0.8201,0.0239,"{""n_neighbors"": 31, ""weights"": ""uniform"", ""metric"": ""manhattan""}",22.1
KNN,RUS,50,12,0.8801,0.0353,0.503,0.0597,0.7967,0.0499,0.376,0.0513,0.7672,0.093,0.8308,0.0321,"{""n_neighbors"": 31, ""weights"": ""distance"", ""metric"": ""manhattan""}",10.9
KNN,NearMiss,50,46,0.7981,0.0328,0.3925,0.0648,0.6571,0.0602,0.3222,0.0539,0.506,0.0917,0.86,0.0205,"{""n_neighbors"": 25, ""weights"": ""uniform"", ""metric"": ""manhattan""}",13.2
KNN,TomekLinks,50,39,0.8765,0.0417,0.2829,0.0731,0.4165,0.0691,0.7463,0.1894,0.1802,0.0586,0.9903,0.008,"{""n_neighbors"": 29, ""weights"": ""uniform"", ""metric"": ""manhattan""}",22.8
KNN,SMOTETomek,50,34,0.8679,0.041,0.4808,0.0713,0.7712,0.0614,0.3627,0.0578,0.717,0.1014,0.8333,0.0267,"{""n_neighbors"": 31, ""weights"": ""uniform"", ""metric"": ""manhattan""}",25.4
KNN,SMOTEENN,50,48,0.8693,0.0395,0.4679,0.0562,0.7897,0.0558,0.3328,0.0402,0.7913,0.1054,0.7919,0.0233,"{""n_neighbors"": 24, ""weights"": ""distance"", ""metric"": ""manhattan""}",21.4
NaiveBayes,ROS,50,47,0.8907,0.0322,0.5043,0.0458,0.8079,0.0365,0.3698,0.0398,0.7964,0.0632,0.8208,0.0231,"{""var_smoothing"": 0.008838925242716086}",6.3
NaiveBayes,SMOTE,50,21,0.8852,0.0329,0.4994,0.04,0.8028,0.0332,0.3668,0.0351,0.7867,0.0634,0.8208,0.0239,"{""var_smoothing"": 0.05321163471619451}",9.1
NaiveBayes,BorderlineSMOTE,50,21,0.8818,0.0341,0.4892,0.0424,0.7923,0.0379,0.3603,0.0363,0.7675,0.0736,0.8202,0.0242,"{""var_smoothing"": 0.05321163471619451}",12.1
NaiveBayes,ADASYN,50,12,0.8874,0.0331,0.488,0.0407,0.8017,0.0321,0.3523,0.036,0.7987,0.0595,0.806,0.0252,"{""var_smoothing"": 0.04622833147405243}",12.9
NaiveBayes,RUS,50,2,0.8847,0.0335,0.4923,0.0421,0.8007,0.0349,0.3585,0.0357,0.7891,0.0636,0.8139,0.0227,"{""var_smoothing"": 0.0001127024507259917}",6.2
NaiveBayes,NearMiss,50,45,0.6574,0.0437,0.2482,0.0382,0.5762,0.0433,0.165,0.0294,0.506,0.051,0.6579,0.0498,"{""var_smoothing"": 0.09850795105279202}",9.8
NaiveBayes,TomekLinks,50,0,0.8907,0.0337,0.5175,0.0528,0.7912,0.044,0.4008,0.0465,0.734,0.078,0.8553,0.0199,"{""var_smoothing"": 1.318078594935307e-08}",15.3
NaiveBayes,SMOTETomek,50,21,0.8852,0.0329,0.4994,0.04,0.8028,0.0332,0.3668,0.0351,0.7867,0.0634,0.8208,0.0239,"{""var_smoothing"": 0.05321163471619451}",15.2
NaiveBayes,SMOTEENN,50,11,0.8905,0.0303,0.4677,0.0389,0.8058,0.0318,0.3233,0.0319,0.849,0.0543,0.7655,0.0269,"{""var_smoothing"": 0.01825921066877873}",17.0
DecisionTree,ROS,50,48,0.8392,0.0546,0.4745,0.0565,0.7793,0.0532,0.3493,0.0473,0.7504,0.1026,0.8142,0.0354,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_split"": 5, ""min_samples_leaf"": 20}",7.7
DecisionTree,SMOTE,50,41,0.8437,0.0429,0.4632,0.056,0.6993,0.0587,0.4044,0.0528,0.5542,0.0993,0.8911,0.0278,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_split"": 12, ""min_samples_leaf"": 19}",11.2
DecisionTree,BorderlineSMOTE,50,28,0.8432,0.0464,0.486,0.0785,0.7147,0.0662,0.4289,0.089,0.5757,0.1043,0.8955,0.0292,"{""criterion"": ""gini"", ""max_depth"": 9, ""min_samples_split"": 3, ""min_samples_leaf"": 18}",14.2
DecisionTree,ADASYN,50,49,0.8485,0.0336,0.461,0.0621,0.7097,0.0624,0.3872,0.0516,0.5784,0.1037,0.8792,0.0257,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_split"": 16, ""min_samples_leaf"": 14}",14.0
DecisionTree,RUS,50,32,0.841,0.0412,0.4329,0.053,0.7565,0.0415,0.3123,0.0696,0.7584,0.1095,0.7646,0.0756,"{""criterion"": ""entropy"", ""max_depth"": 25, ""min_samples_split"": 13, ""min_samples_leaf"": 19}",6.7
DecisionTree,NearMiss,50,49,0.7405,0.091,0.3762,0.0653,0.7139,0.063,0.2574,0.0539,0.7197,0.0836,0.7128,0.0853,"{""criterion"": ""entropy"", ""max_depth"": 26, ""min_samples_split"": 11, ""min_samples_leaf"": 13}",9.9
DecisionTree,TomekLinks,50,10,0.8607,0.0392,0.4565,0.0878,0.6207,0.0714,0.5517,0.1839,0.4125,0.0954,0.9479,0.0291,"{""criterion"": ""gini"", ""max_depth"": 29, ""min_samples_split"": 2, ""min_samples_leaf"": 17}",14.8
DecisionTree,SMOTETomek,50,41,0.8434,0.0427,0.4632,0.056,0.6993,0.0587,0.4044,0.0528,0.5542,0.0993,0.8911,0.0278,"{""criterion"": ""gini"", ""max_depth"": 7, ""min_samples_split"": 12, ""min_samples_leaf"": 19}",18.8
DecisionTree,SMOTEENN,50,26,0.8465,0.0357,0.4618,0.0543,0.7491,0.0527,0.3544,0.0514,0.6789,0.1033,0.834,0.0418,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_split"": 14, ""min_samples_leaf"": 19}",19.2
RandomForest,None,50,12,0.9064,0.0301,0.3898,0.0696,0.5173,0.0568,0.7021,0.155,0.2757,0.058,0.9827,0.0116,"{""n_estimators"": 500, ""criterion"": ""entropy"", ""max_depth"": 11, ""min_samples_split"": 15, ""min_samples_leaf"": 1}",529.6
RandomForest,ROS,50,42,0.9051,0.0316,0.5401,0.0609,0.7984,0.052,0.4296,0.0577,0.7363,0.0954,0.8697,0.0269,"{""n_estimators"": 400, ""criterion"": ""entropy"", ""max_depth"": 15, ""min_samples_split"": 12, ""min_samples_leaf"": 8}",499.6
RandomForest,SMOTE,50,23,0.9048,0.0326,0.5466,0.092,0.7029,0.0669,0.5753,0.1057,0.5252,0.0934,0.9482,0.0165,"{""n_estimators"": 350, ""criterion"": ""entropy"", ""max_depth"": 16, ""min_samples_split"": 15, ""min_samples_leaf"": 3}",433.8
RandomForest,BorderlineSMOTE,50,24,0.9036,0.0317,0.5338,0.0842,0.6907,0.0607,0.5716,0.1032,0.5063,0.0861,0.9488,0.017,"{""n_estimators"": 500, ""criterion"": ""entropy"", ""max_depth"": 18, ""min_samples_split"": 13, ""min_samples_leaf"": 3}",479.1
RandomForest,ADASYN,50,13,0.904,0.031,0.5732,0.0851,0.7372,0.0588,0.5719,0.1004,0.5804,0.0875,0.9413,0.0195,"{""n_estimators"": 150, ""criterion"": ""entropy"", ""max_depth"": 12, ""min_samples_split"": 9, ""min_samples_leaf"": 6}",288.4
RandomForest,RUS,50,25,0.8968,0.0322,0.4944,0.0534,0.8117,0.0441,0.3541,0.0458,0.8276,0.0797,0.7988,0.0391,"{""n_estimators"": 350, ""criterion"": ""entropy"", ""max_depth"": 17, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",407.9
RandomForest,NearMiss,50,22,0.8463,0.0287,0.4431,0.0417,0.7626,0.0436,0.3177,0.0329,0.7386,0.0868,0.791,0.0283,"{""n_estimators"": 50, ""criterion"": ""entropy"", ""max_depth"": 28, ""min_samples_split"": 15, ""min_samples_leaf"": 19}",222.3
RandomForest,TomekLinks,50,24,0.9044,0.0314,0.4214,0.0772,0.5524,0.0631,0.669,0.1561,0.3167,0.07,0.9768,0.014,"{""n_estimators"": 500, ""criterion"": ""entropy"", ""max_depth"": 9, ""min_samples_split"": 13, ""min_samples_leaf"": 1}",494.7
RandomForest,SMOTETomek,50,36,0.9039,0.0313,0.5632,0.0799,0.7377,0.0587,0.5482,0.0898,0.5853,0.0876,0.935,0.0201,"{""n_estimators"": 250, ""criterion"": ""gini"", ""max_depth"": 22, ""min_samples_split"": 5, ""min_samples_leaf"": 7}",506.3
RandomForest,SMOTEENN,50,49,0.9016,0.0322,0.5422,0.0603,0.771,0.0511,0.4601,0.0585,0.6666,0.086,0.8961,0.0217,"{""n_estimators"": 500, ""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 8, ""min_samples_leaf"": 2}",538.7
SVM,None,50,45,0.9103,0.0344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"{""kernel"": ""rbf"", ""C"": 0.41225426405256577, ""gamma"": 0.013230408275863189}",62.6
SVM,ROS,50,43,0.9104,0.0284,0.5204,0.0478,0.8303,0.0351,0.3765,0.0434,0.8489,0.0618,0.8132,0.0299,"{""kernel"": ""rbf"", ""C"": 0.8371399776696002, ""gamma"": 0.03117865865576841}",288.1
SVM,SMOTE,50,12,0.9093,0.0291,0.532,0.0458,0.8356,0.0333,0.3888,0.0452,0.8514,0.065,0.8217,0.0314,"{""kernel"": ""linear"", ""C"": 0.12867041623503267}",236.6
SVM,BorderlineSMOTE,50,22,0.9079,0.0302,0.5506,0.0428,0.8381,0.0324,0.4123,0.0432,0.8369,0.0654,0.8412,0.0292,"{""kernel"": ""linear"", ""C"": 0.29543561058892726}",243.7
SVM,ADASYN,50,33,0.9103,0.0294,0.5242,0.0441,0.8399,0.0357,0.3751,0.0375,0.8752,0.067,0.8073,0.0265,"{""kernel"": ""linear"", ""C"": 0.08320651520503407}",323.4
SVM,RUS,50,33,0.9017,0.0305,0.5042,0.047,0.8236,0.039,0.3593,0.039,0.8491,0.0693,0.8001,0.0251,"{""kernel"": ""linear"", ""C"": 0.16095455880228418}",17.1
SVM,NearMiss,50,42,0.8517,0.0237,0.458,0.0513,0.7409,0.0412,0.3542,0.048,0.6546,0.0705,0.8412,0.0286,"{""kernel"": ""linear"", ""C"": 0.11098038410656343}",27.5
SVM,TomekLinks,50,44,0.9109,0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"{""kernel"": ""rbf"", ""C"": 5.934065237470456, ""gamma"": 0.0016756657524539516}",101.7
SVM,SMOTETomek,50,12,0.9093,0.0291,0.5312,0.0445,0.8345,0.033,0.3886,0.0447,0.849,0.0667,0.822,0.0313,"{""kernel"": ""linear"", ""C"": 0.12867041623503267}",301.2
SVM,SMOTEENN,50,46,0.9111,0.0272,0.5109,0.038,0.8416,0.0288,0.3569,0.0333,0.9041,0.0501,0.7843,0.03,"{""kernel"": ""linear"", ""C"": 0.5279144718888689}",189.8
MLP,None,50,32,0.9151,0.0293,0.5124,0.0614,0.6412,0.0518,0.658,0.1087,0.4274,0.0707,0.9689,0.0147,"{""activation"": ""tanh"", ""solver"": ""adam"", ""alpha"": 0.0607869629312518, ""learning_rate"": ""adaptive"", ""hidden_layer_sizes"": [172], ""max_iter"": 1000}",2648.2
MLP,ROS,50,15,0.9121,0.0281,0.5504,0.0517,0.8427,0.0397,0.4082,0.047,0.8511,0.0745,0.8361,0.0278,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 5.214045622476226e-05, ""learning_rate"": ""constant"", ""hidden_layer_sizes"": [88, 101], ""max_iter"": 1000}",6279.9
MLP,SMOTE,50,41,0.9136,0.0292,0.5497,0.0509,0.8371,0.0396,0.4113,0.0462,0.8345,0.0727,0.8415,0.0269,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 0.01170070034083564, ""learning_rate"": ""constant"", ""hidden_layer_sizes"": [179, 60], ""max_iter"": 1000}",7055.3
MLP,BorderlineSMOTE,50,36,0.9131,0.0289,0.5583,0.0507,0.8365,0.0391,0.4246,0.051,0.8249,0.0766,0.8506,0.0306,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 0.01331074589919641, ""learning_rate"": ""constant"", ""hidden_layer_sizes"": [210, 21], ""max_iter"": 1000}",11614.3
KNN,None,50,42,0.877,0.0403,0.2279,0.0985,0.3504,0.1176,0.7618,0.2645,0.1373,0.0649,0.995,0.0047,"{""n_neighbors"": 27, ""weights"": ""uniform"", ""metric"": ""manhattan""}",12.6
NaiveBayes,None,50,22,0.8909,0.0344,0.5309,0.0607,0.7926,0.0496,0.4195,0.0533,0.7268,0.0852,0.8672,0.0202,"{""var_smoothing"": 0.0006039330077001364}",5.0
