rank,feature,LightGBM,MLP
1,Diagnosis_Delay,0.986412667562122,0.01567437427401965
2,Q8_Walking_slope,0.4948826213381533,0.006540216021428954
3,Q4_Handwriting_slope,0.4486396951898365,0.008838852505437159
4,Q1_Speech_slope,0.40182648632091666,0.0017452352199644517
5,Age_at_Onset,0.36426730520896733,0.0022731298392630016
6,Q10_Respiratory_slope,0.34011291618755723,0.00567368774396972
7,Q9_Climbing_slope,0.30224142524275854,0.007871601141781483
8,Sex_Male,0.2980598886408477,0.0013378163334289443
9,FVC_at_Diagnosis,0.2602874033205547,0.003898404558870643
10,Qty_Regions_Involved,0.1704677350765663,0.0014554967796682552
11,Q2_Salivation_slope,0.13000318834780636,0.006195183513436241
12,Q3_Swallowing_slope,0.12529829371902187,0.0027914423859062977
13,BMI_at_Diagnosis,0.07641670308487497,0.004833679545191326
14,Q6_Dressing_slope,0.07564144948492244,0.0021310234868965653
15,Q5_Cutting_slope,0.057519353346675954,0.00013116667704771224
16,Q7_Turning_slope,0.051258499042833555,0.002036285916313361
17,Patient_with_Gastrostomy,0.03484960975255069,5.26564204886531e-05
18,Riluzole,0.02394854144859265,0.001161895767669855
19,Region_Involved_Respiratory,0.022771201428457073,0.002491051786063831
20,Region_Involved_Bulbar,0.02166079687209029,0.002238462315009714
21,Site_Onset,0.005984221054066037,0.006066750686554697
22,Region_Involved_Lower_Limb,0.004607241591282287,0.0029812162187589646
23,Region_Involved_Upper_Limb,0.000603583418923508,0.0025550168053267396
