rank,feature,mean_abs_shap
1,Diagnosis_Delay,0.986412667562122
2,Q8_Walking_slope,0.4948826213381533
3,Q4_Handwriting_slope,0.4486396951898365
4,Q1_Speech_slope,0.40182648632091666
5,Age_at_Onset,0.36426730520896733
6,Q10_Respiratory_slope,0.34011291618755723
7,Q9_Climbing_slope,0.30224142524275854
8,Sex_Male,0.2980598886408477
9,FVC_at_Diagnosis,0.2602874033205547
10,Qty_Regions_Involved,0.1704677350765663
11,Q2_Salivation_slope,0.13000318834780636
12,Q3_Swallowing_slope,0.12529829371902187
13,BMI_at_Diagnosis,0.07641670308487497
14,Q6_Dressing_slope,0.07564144948492244
15,Q5_Cutting_slope,0.057519353346675954
16,Q7_Turning_slope,0.051258499042833555
17,Patient_with_Gastrostomy,0.03484960975255069
18,Riluzole,0.02394854144859265
19,Region_Involved_Respiratory,0.022771201428457073
20,Region_Involved_Bulbar,0.02166079687209029
21,Site_Onset,0.005984221054066037
22,Region_Involved_Lower_Limb,0.004607241591282287
23,Region_Involved_Upper_Limb,0.000603583418923508
