rank,feature,mean_abs_shap
1,Diagnosis_Delay,0.01567437427401965
2,Q4_Handwriting_slope,0.008838852505437159
3,Q9_Climbing_slope,0.007871601141781483
4,Q8_Walking_slope,0.006540216021428954
5,Q2_Salivation_slope,0.006195183513436241
6,Site_Onset,0.006066750686554697
7,Q10_Respiratory_slope,0.00567368774396972
8,BMI_at_Diagnosis,0.004833679545191326
9,FVC_at_Diagnosis,0.003898404558870643
10,Region_Involved_Lower_Limb,0.0029812162187589646
11,Q3_Swallowing_slope,0.0027914423859062977
12,Region_Involved_Upper_Limb,0.0025550168053267396
13,Region_Involved_Respiratory,0.002491051786063831
14,Age_at_Onset,0.0022731298392630016
15,Region_Involved_Bulbar,0.002238462315009714
16,Q6_Dressing_slope,0.0021310234868965653
17,Q7_Turning_slope,0.002036285916313361
18,Q1_Speech_slope,0.0017452352199644517
19,Qty_Regions_Involved,0.0014554967796682552
20,Sex_Male,0.0013378163334289443
21,Riluzole,0.001161895767669855
22,Q5_Cutting_slope,0.00013116667704771224
23,Patient_with_Gastrostomy,5.26564204886531e-05
